네	yes
소아과	pediatrics
약사	pharmacist
감독	supervisionsupervisor, director
회전하다	to turn, rotate, spin
외투	overcoat
디자인	design

원장	director
빛나다	to shine, gleam, be bright

야만적	uncivilized, savage
주급	weekly pay [salary]
망설이다	to hesitate, be hesitant

전원	countryside, rural areaselectricity supplyall members, everyone
용기	couragecontainer
당분간	for the time being, for a while
어마어마하다	to be tremendous, immense, grand

정각	the exact time (not sooner or later)
형사	detective
덕수궁	Deoksu Palace
무너지다	to collapse, cave in

천국	heaven, paradise
구독	subscription
사생활	privacy, private life
제안하다	to propose, suggest
정직	honestysuspension
면접	interview
어쩌다가	by chanceonce in a while

다듬다	to trimto refine

무척	very much

범인	criminal, culprit
사립학교	private school
비겁하다	to be cowardly
영상	picture, imagetemperature above freezing
반년	half a year
풍경	landscape, scenery
둘러보다	to look around

매번	every time, very often, always
국립	national establishment
우표	stamp
악담하다	to verbally abuse, speak ill of
석양	sunset
접속	access
인삼차	ginseng tea
둥글다	to be round, spherical

움직임	movement, motion

가루	powder, flour, dust

예습	preparation, rehearsal
익다	to ripen, be ripe, be [well] cookedto be skilled, experienced, be familiar

사이다	lemon-lime soda

숙녀	lady
자동판매기	vending machine
세일	sale

협박하다	to threaten, intimidate
단도	dagger, short sword
아나운서	announcer

도대체	(what) on earth, in the world at all
쫓아가다	to run after, pursue, keep up with

부담	burden
유치원생	kindergartener
간판	store signboard
든든하다	to be strong, secure, reassured

큰소리	loud voicebragging

난리	fuss, disturbance
파랑	blue

다지다	to chop up, minceto harden

선거	election
상상력	imagination
팽창	expansion
매달다	to hang, suspend

충돌	collision, crash, impact
음주운전	drunk driving
코끼리	elephant

해고하다	to fire, dismiss
스웨터	sweater

동대문	Dongdaemun, the East Gate
꺼지다	to be extinguished, go outto get lost, disappear (col.)

변함	change
음력	lunar calendar
잘나다	to be good, smart, distinguished

화재	fire (the kind that you call firefighters for)
중국집	Chinese restaurant
도장	stamp, sealpainting
뻔하다	to be obvious, clear

비명	scream
무사히	safely
알약	pill
잔혹하다	to be cruel, heartless, ruthless
뒷줄	back row

결코	never, by no means
위층	upstairs
유지하다	to keep up, maintain
연료	fuel
재킷	jacket

혹은	or
멋지다	to be splendid, lovely, nice

수준	level, standard
해산물	seafood, marine products
부츠	boots

영원하다	to be eternal
무술	martial arts
상당히	considerably, quite
영광	honor, glory
저렴하다	to be cheap
일등	the first classthe first place
스카프	scarf

왕복	round trip
쏟아지다	to pour, get spilt

악명	evil reputation, notoriety
강연회	lecture
권한	rights, authority
괴롭히다	to harass, annoy, trouble

무늬	design, pattern, figure

코미디	comedy

새우	shrimp, prawn

굴다	to behave, act

이모부	mother's sister's husband
쌍	pair
봉급	salary, wages
굉장하다	to be wonderful, great, marvelous
오보	false (incorrect) report
저절로	by itself, automatically

강력하다	to be strong, powerful
목사님	pastor, minister
손등	back of the hand

갇히다	to be locked (up), shut (in), confined

공유	sharing (of information, files etc.)public ownership
연보라	light purple
상점	store, shop
두드리다	to knock, tap, rapto beat, strike

경호	guard
통	totally, not at allbarrel, can, cask
미인	beautiful woman
엄청나다	to be huge, enormous, tremendous

회계	accounting
여관	inn
소극장	small theater
참조하다	to refer (to)
화염	flame, blaze
살인	murder
빠져나오다	to escape, get out

의류	clothing, clothes
볼링	bowling

짬	free time

상대하다	to deal with
더욱	increasingly, more and more

노약자석	handicapped seating
껄끄럽다	to be uncomfortable, uneasy, strained

회	time, round (count.)limeraw fish
경쟁사	competitor, rival company
노트북	notebook, laptop

해치다	to injure, harm, damage
오답	wrong answer, incorrect answer
불규칙	irregular
빨다	to wash (laundry)to suck

증거	evidence
속초	Sokcho
어지럽다	to be dizzy, feel giddyto be in disorder

선약	previous engagement
철저히	thoroughly, completely
진지하다	to be serious, earnest
유치장	jail, lockup, holding cell
자매	sisters
쌀쌀하다	to be chilly

시스템	system

천재	genius
청순하다	to be innocent, pure
수다	chatter, chit-chat

항공권	airline ticket
스치다	to graze, brush (touch lightly)

수출	export
상투적	conventional, commonplace
패스하다	to pass (an exam)

성별	sex, gender
장례식	funeral
주의하다	to pay attention, take care, be careful
극찬	high praise, compliment
이어서	continuing, following

번지다	to spread, run

업무	business, duty
승객	passenger
달려들다	to attack, jump at

온기	warmth
의식	consciousnessceremony, ritual
파혼하다	to break off one's engagement
도자기	ceramic ware, pottery
무료	free of charge (more formal)
실시하다	to implement, carry out
온종일	all day long, the whole day
규모	scale, scope
불량하다	to be poor, faulty
연세	age (hon.)
엉터리	rubbish, nonsense, fake, cheat

권유하다	to advise, suggest, recommend
동침	sleeping together, sharing a bed
초대장	(written) invitation
수리하다	to repair, fixto accept, receive
핑계	excuse, pretext

소감	thoughts (on), impression
각오하다	to be determined, be prepared
일기예보	weather forecast
조회	inquiry (into)
꼬시다	to chase (women), pick up (girls), hit on

근로자	worker, working people
망치	hammer

찌르다	to pierce, stab

국적	nationality, citizenship
샘	spring, fountainjealousy

넘어오다	to come over, cross overto fall, come down

출입	entrycoming and going
싱크대	sink
쓰다듬다	to stroke, pat

아예	from the beginningby any means

장바구니	shopping basket
미숙하다	to be inexperienced, unskilledto be unripe, immature
증세	symptom
동창회	alumni meeting, reunion
희생하다	to sacrifice
행운	good luck, good fortune
가위바위보	rock-paper-scissors
연장하다	to extend, renew
근육	muscle
이성	reason, rationalitythe opposite sex
아쉬워하다	to miss, feel the lack of

랭킹	ranking

품	bosom, breastwork, labor

억울하다	to suffer unfairness, feel victimized
안방	master bedroom
숙어	idiom
창조하다	to create
경영	(business) management, administration
현장	the actual spot, scene (of action), site
비추다	to light up, shed lightto reflect, mirror

장화	boots
머릿속	inside one's head, mind

달구다	to heat (up)

균형	balance
혁명	revolution
갖추다	to get ready, prepare

승자	winner
남몰래	secretly

받아들이다	to accept

기운	energy, vigor, strength

최신	the newest, the latest
생산하다	to produce, make
내과	internal medicine
윷놀이	yut (Korean game)

썰렁하다	to be chillyto be not funny, awkward

유산	abortioninheritance, legacy
모친	mother
존재하다	to exist, be present
연기자	actor, actress
진정하다	to be true, real, genuineto calm down
상식	common sense
고추장	red-pepper paste
건네다	to pass, hand over, deliver

하숙	boarding house
부친	father
포옹하다	to embrace, hug, cuddle
폭력	violence, force
코너	corner

찾아내다	to discover, locate, come up with

배려	consideration, regard
자발적	voluntary
건설하다	to build, construct
연극	play, theatrical performance
화제	topic, subject of conversation
두렵다	to be fearful, afraid, frightened

악몽	bad dream, nightmare
활짝	extensively, widely, fully

환하다	to be brightto be familiar (with)

대륙	continent
찜질방	Korean dry sauna, spa
딱딱하다	to be hard, stiff, firm

공주	princessGong Ju
복권	lottery (ticket)reinstatement
한턱내다	to treat to a meal or a drink

피해	damage, harm
홀로	alone, by oneself

찬란하다	to be radiant, shining, gorgeous
애교	charms, courtesy
봉사	serviceblind person
떠맡다	to take on, assume, undertake

중식	lunch (more formal)
말투	one's way of talking, style of speech
피하다	to avoid
분야	field, area (abstract)
은근히	politely, courteouslyquietly, inwardly
당황스럽다	to be embarrassed, disconcerted, confused
관리	administration, managementgovernment official
자	ruler

긁다	to scratch, scrape

직관	intuition
가정부	housekeeper
안심하다	to be relieved, rest easy
장면	scene (in a movie etc.)
기호	taste, preference (for)sign, symbol
혼내다	to scold, teach a person a lessonto scare
물결	wave

뇌물	bribe
비난하다	to criticize, attack, blame
승인	approval
한마디	a word

굶다	to starve, go hungry, skip a meal

서명	signature
건강보험증	health insurance card
곱다	to be pretty, lovely

실업	unemploymentindustry, business
곤란하다	to be difficult, toughto be embarrassing, awkward
동갑	the same age
첫인상	one's first impression
한심하다	to be pathetic, pitiful
예고	advance notice, warning
신간	new book
염색하다	to dye
용법	usage, use
시청률	(viewer) ratings
한산하다	to be quiet, empty, inactive
댓글	comment

호흡	breathing
합치다	to combine, unite, put together
주군	one's master
일거리	work, things to do, task

빌다	to ask, begto wish, prayto apologize

의외	surprise, unexpected thing
구매	purchase
조깅하다	to jog

미만	under, less than
아끼다	to spare, save, begrudge

불길하다	to be unlucky, ominous
짝	one of a set, partner

이목	attention
추천하다	to recommend
깃발	flag
최저	lowest, minimum
따스하다	to be warm

파인애플	pineapple

공동	joint, group, collaboration
감돌다	to hang (in the air)

신	shoes, footwearGodjoy, delight
또는	or

야근하다	to work (overtime) at night
승진	promotion, advancement
짝사랑	unrequited love, (secret) crush

짤리다	to be fired

시기	time, momentopportunity, chancejealousy
사방	all directions, everywhere
달콤하다	to be sweet, sugary

응급	emergency
거스름돈	change (coins)

서늘하다	to be chilly, cool

노임	wages, pay
꽉	tightly, firmlyclosely

자책하다	to blame oneself, reproach oneself
유배	banishment, exile
벌금	fine, penalty
내다보다	to look out

열정	passion
막바지	last stage, end

해명하다	to explain (oneself), clarify
손길	touch of a hand

결심	determination, resolution
켜져있다	to be lightened, be turned on

장난	game, playing (for fun)

어린애	child

진급하다	to be promoted, move up
버전	version

천연	natural
수상하다	to be suspicious, strange, shady
톤	ton (count.)tone

자택	one's own house (home)
녹다	to melt, thaw, unfreeze

탁구	table tennis
잠자리	dragonfly

원망하다	to resent, reproach, blame
투혼	fighting spirit
놀이터	playground

지지하다	to support, back up
회계사	accountant
외모	appearance
소박하다	to be simple (and honest)
삼각	triangle
킬로그램	kilogram

껴안다	to hug, embrace

환상	illusion, fantasy
교도소	jail, prison
다정하다	to be affectionate, friendly, intimate
풍습	customs, manners
넋	soul, spirit

흔하다	to be common, commonplace

노릇	role, function

종반	the last phase (stage)
물러서다	to step back, back off

연구소	research institute
설정	setup, setting
소생하다	to revive, recover
항공	aviation, flight
조언	advice
체포하다	to arrest
분수	fountainfraction
재주	talent, skill
비참하다	to be miserable, wretched, tragic
몰다	to drive, steer

반전	reversal, turnaroundantiwar
버티다	to endure, last, hold out

전설	legend
호감	good feeling, favorable impression
붙잡다	to catch, hold, grasp

생시	reality
그럭저럭	somehow

입력하다	to enter, input
주방	kitchen (2)
동창	fellow students, classmates
더듬다	to grope, feel around

적절하다	to be appropriate, adequate, proper
의도	intention, aim, purpose
제과점	bakery
투표하다	to vote
되찾다	to recover, regain

침	saliva, spit

운명	fate, destiny
쓸모있다	to be useful

싱가포르	Singapore

내기	bet, betting

상속하다	to inherit
얼어붙다	to be frozen

내부	the inside, inner part
생물	living thing, creature
다그치다	to push, press (with words, not physically)

수레	wagon, cart

뒷담화	talking behind someone's back
실망시키다	to disappoint
꽂다	to put into, stick into

귀신	ghost, spirit
육개장	spicy beef soup
지독하다	to be viciousto be awful, terrible, severe
축제	festival
소원	wish, desire
요란하다	to be noisy, be loud
의리	loyalty
도리어	on the contrary, instead

밀치다	to push, shove

변명	excuse, justification
와이셔츠	dress shirt

목격하다	to witness, observe
와인	wine

불국사	Bul Guk temple
동거하다	to live together
참고	reference
외부	the outside, the exterior
재우다	to put [send] someone to sleep [bed]

딛다	to step (on)

금융	finance
신제품	new product
심사하다	to screen, evaluate, judge
찬성	agreement, consent, approval
터미널	terminal

사소하다	to be trivial, insignificant
두려워하다	to be afraid, scared of

볶음밥	fried rice

참치	tuna
시달리다	to suffer (from)

수신	reception
제국	empire
촌스럽다	to be rustic, tacky, out-of-style
바람둥이	womanizer, playboy

연하	younger, junior
애쓰다	to make efforts, go to trouble

늦잠	sleeping late (in the morning), oversleeping

재판	trialsecond edition
야릇하다	to be strange, funny, peculiar

남김없이	entirely, without exception

화가	painter, artist
부리다	to manage, handleto raise, create, show, have

화해하다	to be reconciled, make up with
잔디	grass, lawn

올림픽	Olympic

영리하다	to be smart, clever, bright
바탕	foundation, basis

녹음실	recording studio
확정하다	to determine, decide, settle, fix
노래자랑	singing contest

소화	digestion
겸손하다	to be modest, humble
산보하다	to walk, stroll
미혼	single, unmarried
침묵	silence
깔끔하다	to be neat, tidy

스타킹	stockings

하필	why of all the [things, people etc.]
노출하다	to expose
본체만체하다	to ignore, pretend not to see

환불	refund
차표	ticket for train/bus
존중하다	to appreciate, respect
보상	compensationreward
진단	diagnosis
우습다	to be funny, amusing

지문	fingerprint
이만	just this much, this far, to this extent

조절하다	to control, adjust, regulate
파마하다	to get a perm

신분	social position
교복	school uniform
빠뜨리다	to drop, throw intoto omit, excludeto tempt

호응	(positive) response
차별	discrimination
미루다	to delay, postpone

하얀색	white

진주	pearl
망하다	to go to ruin, go bankrupt, perish
엉망	wreck, mess, bad shape

계급	(social) class
감싸다	to cover, wrap (up), shelter

검찰	the prosecution
교무실	teachers' room
살아가다	to lead a life, get along, keep living

집착	obsession
스키장	ski resort
희미하다	to be dim, faint, vague
빈자리	empty seat, vacant spot

부주의	carelessness
맞이하다	to welcome, greet, receive

거치다	to go through, pass (through)

만원	full house (no space for more people)
인류	humanity, mankind
나아가다	to advance, proceed

콤비	combination

뼈	bone

넘어뜨리다	to throw down, tip down, push down

위선	hypocrisy
취침	going to bed, retiring
쐬다	to get (fresh air), be exposed (to sun)

귀띔	hint, tip

주식	stocks, sharesprincipal item of diet
나뉘다	to be divided, be apart

텐트	tent

애들	kids (short from 아이들)

욕먹다	to be blamed, be criticized, be reproached
지켜보다	to watch, observe
호적	family register
남매	brother and sister
면도하다	to shave
제약	restriction, limitationmanufacture of medicines
우정	friendship
부당하다	to be unfair, unjust
강도	strength, intensityrobber, robbery
필수	essential, required
부적절하다	to be inappropriate
까다	to peelto hatch

체육관	gym
권투	boxing
설레다	to flutter, vibrate

해안	coast, seaside
다름없이	equally, similarly, in the same way

통과하다	to pass, get through
번쩍	in a flash, in a breath

시상식	awards ceremony
성취하다	to achieve, accomplish
홀랑	naked, nude

안개	fog, mist

통역하다	to interpret (translate orally)
위협	threat, intimidation
양다리	double-deal, both ways (also used in the context of cheating)
구분하다	to divide, classify
비만	fatness, corpulence
인내심	patience, endurance
돌보다	to look after, take care of

건드리다	to touch, meddle with, provoke

헬스클럽	health club, gym

부대	unit, troopsbag, sack
울적하다	to be depressed, gloomy, cheerless
논리적	logical
일체	all, the wholeentirely, absolutely
빼앗다	to take away, robto fascinate, captivate

과로	working too much, excessive labor
명예	honor, distinction, fame
속삭이다	to whisper

상징	symbol
언덕	hill slope

지시하다	to direct, instruct
외삼촌	maternal uncle
숙소	lodging, accomodations
추측하다	to guess, suppose
취득하다	to acquire, obtain
초인종	doorbell
대낮	the middle of the day

갚다	to pay back, repay

살살	gently, softly

베개	pillow

야단치다	to scold, rebuke
각설하다	to change the subject
상사	one's boss, superior
예의	(good) manners, courtesy
의논하다	to discuss (with), consult
채널	channel

벌떡	suddenly, abruptly

찢다	to tear, rip

클래식	classic

당번	duty
멀어지다	to grow apart, drift apart

언제든지	anytime

순번	turn, go
감당하다	to be able to fulfill the dutiesto handle, manage, deal (with)
마사지	massage

이민	emigrationimmigration
닥치다	to approach, draw nearto shut up

의문	question, doubt
빈대떡	green-bean pancake

접다	to fold
조끼	vest

영양	nutrition, nourishment
참여하다	to participate (in)
슬리퍼	slipper

졸업식	graduation ceremony
가물가물하다	to be blurry, blurred

물냉면	cold noodles served in water
전통적	traditional, conventional
부러지다	to be broken, snap

지도하다	to guide, direct, coach
형식	form, formality
인상적	impressive
중요시하다	to put a high value (on), regard as important
탕수육	sweet and sour pork
재즈	jazz

뜨다	to floatto riseto open (eyes)

카레	curry

본업	main occupation
정해지다	to be set, arranged, determined
백수	being out of work, unemployedall kinds of animals
현실적	realistic, practical
닳다	to wear out

짬뽕	Chinese spicy noodle soup

안동	Andong
빨개지다	to turn red

묵다	to stay (over night)to get old

자가용	one's own car
울음	crying
양보하다	to yield, give, concede
채	counter for houses

현상	the present situation, existing circumstances
띄다	to leave a spaceto be visible, stand out
왕관	crown
되돌리다	to restore, put back, return

탈	mask, disguisesickness
우연	coincidence, chance
명랑하다	to be cheerful, bright
출퇴근하다	to commute
멀미	nausea, motion sickness

홈페이지	website, home page

책임지다	to take responsibility
또한	also, too, as well

사적	private, personal
싱싱하다	to be fresh

저울	scales, balance

자존심	self-respect, pride
떠오르다	to come across one's mindto rise up

동해	the East Sea
실	thread, yarn

정차하다	to stop, make a stop (about vehicles)
전시회	exhibition, display
세배	New Year's bow
겪다	to undergo, suffer

설사	diarrhea
작업	work, operation
귀여워하다	to treat affectionately

걸치다	to extend, stretchto wear, throw on

남해	the South Sea
샴페인	champagne

출판하다	to publish
행위	act, action
장관	ministermagnificent sight, grandeur
삐다	to sprain, twist

언급	mention, reference
계집아이	girl

태워주다	to give a person a ride

눈사람	snowman

고소	accusation, (legal) chargewry smile
빚지다	to get into debt

도전	challenge
마라톤	marathon

수집하다	to collect, gather
뜬금없이	all of a sudden

인심	one's mind, one's heart
베다	to cut, slash, sawto rest one's head on

제복	uniform
대한민국	Republic of Korea
뛰어가다	to run, dash

형수	one's elder brother's wife
서방	husbandthe West
해당하다	to be relevant, to correspond (to)
놀이공원	amusement park
상대	business schoolcounterpart
올리다	to raise, lift upto offer

회비	membership fee
핸드백	handbag

존경하다	to respect, look up to
매운탕	spicy fish stew
사위	son-in-law

벌이다	to start, set up, stage

중독	poisoningaddiction
기념품	souvenir
삭제하다	to delete, remove
부정	denial, negationcorruption, dishonestyunfaithfulness
사내아이	boy

절박하다	to be urgent, desperate
실제	truth, reality
예고편	preview, trailer
감독하다	to supervise, oversee
화면	screen, picture
굽	heel

빌려주다	to lend, loan
거지	beggar

외계인	alien
격려하다	to encourage
물고기	fish

생신	birthday (hon.)
기죽다	to be discouraged

동작	movement, action
개구리	frog

돋보이다	to stand out, show to advantage

야망	ambition, aspiration
뽀뽀	kiss, peck

구박하다	to ill-treat, mistreat
소비	consumption
정략	political scheme, move
돌아가시다	to pass away, die (hon.)
우승	victory, championship
돌멩이	stone, pebble

쫓아오다	to follow, chase

관점	point of view
온수	warm water
괘씸하다	to be disgraceful, outrageousto be disgusted (with, that)

실체	truth, true nature
주민등록증	ID card
엄연하다	to be undeniable, clear
구성	composition, organization, formation
시상	awardpoetic concept, idea
보류하다	to postpone, put off
너무나	too much

안색	complexionthe look on one's face
저장하다	to store, preserve
도로변	roadside
전하	Your Highness
속다	to be deceived, be fooled

장군	general, admiral
낯	face

잠그다	to lock

필통	pencil case
고아	orphan
가입하다	to join, subscribe
대충	roughly, approximatelyalmost, practically

임무	duty, task
상쾌하다	to be refreshing, fresh
밑줄	underline

순위	rating, ranking, position
들려오다	to reach one's ears

폭풍	storm, windstorm
동그라미	circle

달라고 하다	to request (ask) to give

입맛	appetite, taste

방안	plan, way
비꼬다	to be sarcastic

철도	railway
상영	screening, showing (a movie etc.)
엿듣다	to eavesdrop, overhear

군중	crowd
줄거리	outline, synopsis, plotstalk, stem

치사하다	to be shameful, disgraceful, cheating, meanto thank someone, express gratitude
대개	mostly, generally
차이점	differences, points of distinction
갈다	to change, replaceto sharpen, grind, hone

물약	liquid medicine
정열	passion, enthusiasm
연구실	(professor's) officelaboratory
지겹다	to be tedious, boring, dull

직후	immediately after
된장찌개	soy bean paste stew
야경	night view
박히다	to be stuck (in), embedded

태극기	national flag of Korea
학비	school expenses, tuition fees
기세	spirit, force
소독하다	to disinfect, sterilize
레몬	lemon

부하	subordinate
목숨	life

겁쟁이	coward
연주하다	to play (a musical instrument), to perform
부침개	vegetable pancake

오직	only, solely

늑대	wolf

외치다	to cry out, shout, yell

터널	tunnel

위기	crisis
국제적	international
찌푸리다	to frown, scowlto cloud over

자살	suicide
헤어스타일	hairstyle

기내식	in-flight meal
찌다	to gain weightto be steaming hot, be sultryto cook with steam

밤새	all night

적립	saving, accumulation
노름하다	to gamble

유언	will, testament, dying wish
사다리	ladder

반사하다	to reflect
수갑	handcuffs
가해자	attacker, perpetrator
불리하다	to be unfavorable, disadvantageous
부채	fan, folding fandebt, liabilities
흉기	deadly weapon
쓸데없다	to be useless

빚	debt, loan

대기실	waiting room
특이하다	to be unusual, peculiar, unique
자정	midnight
불평	complaint
까다롭다	to be particular (about), fussy, difficult

꼬마	(little) kid

느닷없이	suddenly, abruptly

데우다	to heat (up), warm (up)

억지로	against one's will, by force

결석	absence
예방하다	to prevent
워낙	very, by nature

경복궁	Gyeong Bok palace
여쭤보다	to ask (hum.)

설렁탕	beef and noodle soup
진가	true value, real worth
증명하다	to prove, demonstrate, confirm
사흘	three days

회견	interview
기대다	to lean (on), rest (against)

어찌	how, what

상담	advice, consultationbusiness talk
확보하다	to secure, ensure, assure
충고	advice
연예인	entertainer, celebrity
무리하다	to exert energy, overstrain (oneself)
대만	Taiwan
북한	North Korea
처리하다	to handle, deal with, take care of
미처	as far as, to that extent

최악	the worst
눌리다	to be squeezed, be pressedto be oppressed

내복	long underwear
비타민	vitamin

꼬다	to twist, cross, entwine

수수께끼	puzzle, riddle

귀하	sir, madam
복용하다	to take (a dose of) medicine or drugs
미장원	beauty parlor, hair salon
소스	sauce

투자하다	to invest
제비	playerlotswallow

목적지	one's destination
반납하다	to return, give back, hand in
눈싸움	snowball fightstaring contest

영구히	eternally, permanently
제출하다	to submit, hand in, present
가구점	furniture store
반도	peninsula
진열하다	to display, exhibit
관계자	the interested parties, affected persons
효자	filial (devoted) son
암기하다	to memorize
거꾸로	upside down, inside out, backwards

지극히	very, extremely, perfectly
하이힐	high-heeled dress shoes

태연하다	to be calm, composed, nonchalant
총장	chancellor, secretary general
구조	structure, organizationrescue
단층집	single-story house
새하얗다	to be pure white, snow-white

사표	(written) resignation
수익	profit, earnings, revenue
기본적	basic
마주치다	to meet with, come across

차고	garage
무선	wireless, radio
보트	boat

횡설수설하다	to talk nonsense, babble, speak incoherently
첫눈	the first sightthe first snow (of the season)

대사	lines, dialogueambassador
창밖	outside the window
포근하다	to be warm, mildto be soft, comfortable

동전	(copper) coin
여배우	actress
소매	sleeveretail
바래다	to fade, lose color

예감	premonition, foreboding, hunch
전차	tramtank
시간표	schedule, timetable
들려주다	to let hear (i.e. tell, read to, inform etc.)

모범	example, (role) model
약점	weakness, weak point
끌어내다	to take out, bring out, drag out

간첩	spy, secret agent
교외	the suburbs
흥분하다	to be excited, be stimulated
횟수	number (of times)
권총	pistol, gun
뚜렷하다	to be distinctive, clear

안과	ophthalmic hospital
이발소	barber shop
결백하다	to be innocent
멜론	melon

기술자	technician, engineer
유효하다	to be valid
작곡	composition (of music)
강의	lecture
재촉하다	to hurry, rush, push

판소리	traditional Korean singing drama

장부	ledger, books, account
가만두다	to tolerate, leave as is

축복	blessing
농부	farmer, peasant
꼼꼼하다	to be careful, meticulous

팩스	fax

죄책감	feeling of guilt, guilty conscience
내가다	to take out, take away, remove

공해	pollution
최소	the smallest, minimum
도망치다	to run away, escape
제작	production, making
성향	tendency, inclination
경솔하다	to be careless, rash
발매	sale
방면	directionway, aspect
미련하다	to be stupid, foolish

성당	Catholic church
제자리	the proper place, the original place

훔치다	to steal, swipe, liftto wipe, mop

파스	pain relief patch

퇴장	walkout, exit, departure
맴돌다	to circle, hover

독	poisonjar
마술	magic
황당하다	to be ridiculous, absurd, nonsensical
성적	grade, mark
인연	tie, connectiondestiny
순하다	to be gentle, mild, meek
이기적	selfish
결론	conclusion
못되다	to be bad, mean, evilto be under, short of

조치	action, steps, measures
절반	half
거스르다	to go upstreamto give change

두부	tofu
급속히	rapidly
끔찍하다	to be terrible, horrible

공격	attack, assault
악수	handshake
평범하다	to be ordinary, common
사투리	dialect

괴물	monster
도둑질하다	to steal, rob

처녀	unmarried (single) woman, maiden, virgin
기웃기웃	peeping, snooping

애원하다	to beg, plead, entreat
수수료	commission, fee
관사	article (grammatical)official residence
공개하다	to make public
억양	intonation, accent
표준	standard, norm, average
여리다	to be tender, soft, delicate

게	crab

급료	salary
엎다	to turn upside down

할리우드	Hollywood

교대	rotation, shift, alternation
증가하다	to increase, grow
은행원	teller, bank clerk
답변	answer, reply
짙다	to be dark, deep, thick

털	hair, fur, feather

취향	taste, liking, preference
유혹하다	to tempt, lure, seduce
잠바	jacket

오누이	brother and sister

가르다	to divide, cut, split

어르신	senior citizen, elderly

메달	medal

따다	to pick, pluckto obtain

쓸쓸하다	to be lonely, forlorn

환상적	fantastic
반팔	short-sleeve shirts
유치하다	to be childish, immature
엑스레이	X-ray

매체	media
거듭나다	to reform, turn over a new leaf

매연	exhaust (fumes)
을지로	Euljiro

육박하다	to approach, draw near, close in
세트	a set

재수	luck, fortune
달래다	to soothe, calm (down)

태풍	typhoon
장사	business, trade

감격하다	to be deeply moved
단골	regular customer

우체부	mailman
밀리다	to be delayed, be behind, be overdue

몽땅	all

면허증	license, permission
불행하다	to be unhappy, unfortunate
레이더	radar

과연	indeed, sure enough
틀다	to twist, turnto switch on

습도	humidity
사치품	luxury goods
지저분하다	to be messy, disordered, untidy

대체로	generally, mostly
흑인	black, ethnic African
무덥다	to be stifling, humid, sultry

명물	specialty
현대인	modern people
고독하다	to be lonely, solitary
떡볶이	rice-stick with vegetables

내내	throughout, all the time, from start to finish

비롯하다	to include

억	hundred million
일식집	Japanese restaurant
눅눅하다	to be damp, humid

사인	signature, autographcause of death
장마철	the rainy season

불쾌하다	to be unpleasant, uncomfortable
사납다	to be wild, fierce, violent

전해주다	to deliver, convey, report
초밥	sushi
횡재	windfall
흥정하다	to bargain, haggle over terms

다투다	to fight, argue, struggle

신청곡	song request
세대	generation
선명하다	to be clear, distinct, sharp
청취자	listener (of a radio or similar)
애절하다	to be sad, touching, pathetic
카세트	cassette

세차하다	to wash a car
품질	quality
종로	Jongno
거절하다	to refuse, decline, reject
실시간	real time, live
무모하다	to be rash, reckless
부유하다	to be rich, wealthy
마룻바닥	the floor

목록	list, catalogue
공평하다	to be fair, just, even-handed
생물학	biology
건조하다	to be dry
책임자	person in charge
별장	vacation home, cottage
넘어서다	to pass over, exceed

서너	three or four

야간	night, night time
유용하다	to be useful, helpful
자주색	purple, violet
분류하다	to classify, categorize
탈의실	dressing room
불결하다	to be dirty, unsanitary, filthy
따끈따끈하다	to be hot, warm

신비하다	to be mysterious
통조림	canned food
매	hawk, falconwhip, rod

귀중하다	to be precious, valuable
은은하다	to be vague, faint
향기	scent, fragrance
수정과	dried persimmon punch
기린	giraffe
중앙	center, middle
생활비	living expenses, the cost of living
불꽃	spark, flame

국제선	international flight
삶다	to boil, cook

평가	appraisal, evaluation, assessment
맏아들	the eldest son

우애	brotherly love
내적	inner, internal
자랑거리	something one is proud of

자동	automatic
돌아다니다	to wander around, roam

양심	conscience
유괴하다	to kidnap, abduct
유머	humor

피서	summer retreat (out of town), summer vacation, getaway
파일	file

시력	eyesight
도서	books, publications
국경	border, boundary
탑	tower, pagoda
재혼하다	to remarry, marry again
바둑	Go (the board game)

온천	hot spring
부수	number of copiesradical
공상과학	science fiction
항의	protest, complaint
일상	everyday, daily life
수십	tens, scores, dozens
칠순	the age of seventy
영토	territory, domain
물질	matter, substance, material
외할머니	maternal grandmother
처방	prescription
월세	monthly rent
어귀	entrance

항구	port, harbor
장녀	eldest daughter
하반기	the second half of the year
폭발하다	to explode, blow up, detonate, erupt
첩	concubine
얌전하다	to be gentle, well-behaved, obedient, modest

따님	daughter (hon.)
솜씨	skill, ability

단풍	tinged autumn leaves
시동	starting (of a machine)
짝퉁	fake, imitation

충전하다	to electrify, charge
등신	fool, idiot
